id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,Proto
34807446,LOFT in Antwerp - bright 140m2 space,262422424,Frédérique,M,Centraal Station,51.21381,4.42585,Entire home/apt,98,2,7,2021-10-31,0.32,1,101,4,M,Haha
34836818,BLITZ 201. Luxury suite Central Station,164785246,Nick,M,Centraal Station,51.2176,4.41979,Entire home/apt,85,1,120,2021-12-13,3.81,5,61,47,M,Haha
34851379,Most cosy little house,257743843,Linde,M,Stuivenberg,51.22338,4.42773,Entire home/apt,120,1,7,2020-01-02,0.23,1,0,0,M,Haha
34866043,BLITZ 202. Luxury suite Central Station,164785246,Nick,M,Centraal Station,51.21744,4.41999,Entire home/apt,109,1,116,2021-12-17,3.67,5,3,47,M,Haha
34879418,Gehele verdieping met eigen badkamer in herenhuis,9526330,Hans,M,Borgerhout Intra Muros Noord,51.21726,4.43398,Entire home/apt,59,1,32,2021-12-12,1.02,1,0,8,M,Haha
34904214,Modernistisch huis vlakbij Antwerpen (met jacuzzi),5747798,Anne,M,Hoboken - Noord,51.17918,4.35532,Entire home/apt,214,2,6,2021-11-01,0.19,1,357,2,M,Haha
34925546,Amazing  luxury 3bd apt with panoramic city view;,8109150,Hila,M,Markgrave,51.19512,4.41095,Entire home/apt,80,2,2,2021-11-14,0.08,1,11,1,M,Haha
35052955,BLITZ 301. Luxury suite Central Station,164785246,Nick,M,Centraal Station,51.21804,4.41951,Entire home/apt,69,1,84,2021-12-21,2.68,5,80,35,M,Haha
35061198,Unieke woning in het historisch stadscentrum,162124474,Hans,M,Historisch Centrum,51.223904,4.399599,Entire home/apt,336,2,67,2021-12-19,2.17,1,345,34,M,Haha
35063134,Spacious house/free parking/terrace/well located,55289516,Bart,M,Deurne Zuid West,51.20481,4.46219,Entire home/apt,49,30,1,2019-07-11,0.03,1,0,0,M,Haha
35063828,Slow traffic/ nicest street in town,16832212,Dirk,M,Brederode,51.20263,4.39847,Entire home/apt,99,3,0,M,M,1,83,0,M,Haha
35076535,antwerpen kiel,172370317,Akar,M,Hoboken - Noord,51.18657,4.37473,Entire home/apt,62,4,1,2019-06-06,0.03,1,268,0,M,Haha
35086421,Overnachten in rust en toch dicht bij de stad.,264298940,Danielle,M,Deurne Dorp - Gallifort,51.22357,4.47399,Private room,40,1,62,2021-08-15,1.99,1,0,9,M,Haha
35106543,3-bedroom apartment in centre of Antwerp,264440567,Henry,M,Kiel,51.18837,4.37465,Entire home/apt,119,14,0,M,M,8,179,0,M,Haha
35121718,Royal Academy Suite,15780894,Simon,M,Universiteitsbuurt,51.22151,4.40619,Private room,40,1,123,2021-08-27,3.93,11,0,16,M,Haha
35178948,BLITZ 401. Luxury suite Central Station,164785246,Nick,M,Centraal Station,51.21804,4.41951,Entire home/apt,78,1,107,2021-12-13,3.41,5,79,24,M,Haha
35191921,BLITZ 302. Luxury suite Central Station,164785246,Nick,M,Centraal Station,51.21753,4.4199,Entire home/apt,95,1,106,2021-12-01,3.38,5,73,38,M,Haha
35206126,Trendy zuid antwerpen,71069353,Murat,M,Zuid,51.20752,4.38712,Entire home/apt,220,4,0,M,M,1,365,0,M,Haha
